Episode,AvgReward,WinRate,Epsilon
0,0.0,0.0,1.0
100,87.55,45.0,0.9871674590699455
200,136.85,54.0,0.9737689484611846
300,72.55,56.00000000000001,0.9605619938916306
400,178.35,50.0,0.9477233834432786
500,112.65,51.0,0.9345349127838699
600,246.95,52.0,0.9227612049683177
700,264.45,56.99999999999999,0.9104555726223711
800,62.9,54.0,0.8986628427066308
900,100.25,45.0,0.886864345100148
1000,123.25,44.0,0.8748173637831562
1100,232.8,57.99999999999999,0.8622124830758165
1200,139.35,49.0,0.850440326676619
1300,306.55,60.0,0.8389176829921327
1400,60.1,56.00000000000001,0.8273276788697908
1500,184.95,56.99999999999999,0.8156782057894686
1600,208.25,57.99999999999999,0.8036001969401474
1700,190.35,56.00000000000001,0.7927518347818422
1800,240.75,54.0,0.7803048024456023
1900,149.4,54.0,0.7695039272339425
2000,200.5,61.0,0.7597849129228219
2100,213.3,56.99999999999999,0.7485187241704107
2200,297.4,62.0,0.7379815251509919
2300,283.8,65.0,0.7272645634895823
2400,207.8,57.99999999999999,0.7167145441995205
2500,203.6,60.0,0.7064601456539383
2600,150.6,60.0,0.6955237382522188
2700,-49.25,56.99999999999999,0.6855317084058294
2800,197.45,65.0,0.676445628586402
2900,174.9,64.0,0.6673659652360121
3000,356.9,59.0,0.6576882383557775
3100,264.0,61.0,0.6479827961725577
3200,325.2,56.99999999999999,0.639138903131528
3300,177.45,56.99999999999999,0.6303677675595204
3400,237.3,55.00000000000001,0.6212700183138435
3500,228.15,56.99999999999999,0.6127649157782276
3600,191.95,56.00000000000001,0.603776947922196
3700,287.35,59.0,0.5949325276895435
3800,131.4,59.0,0.5860149136162223
3900,280.15,59.0,0.5782459473335364
4000,356.85,67.0,0.5693416670549515
4100,303.75,71.0,0.5617631828770139
4200,400.8,67.0,0.5533883725474096
4300,341.7,74.0,0.5454973395807036
4400,417.0,75.0,0.5388530751904572
4500,220.5,64.0,0.5309493603349833
4600,411.3,64.0,0.5230788065208024
4700,364.5,70.0,0.5159889794488423
4800,248.65,65.0,0.5082715831093696
4900,340.15,66.0,0.5011329045153206
5000,457.8,71.0,0.49304085292899497
5100,327.8,70.0,0.4860958177102267
5200,177.25,66.0,0.4790879821917134
5300,327.9,67.0,0.4721927589860454
5400,168.7,56.99999999999999,0.4653667997143942
5500,435.3,72.0,0.4590191533261377
5600,353.35,72.0,0.4526476994066209
5700,255.75,71.0,0.4462169776645465
5800,201.85,62.0,0.4407867382026893
5900,306.9,67.0,0.43419951370304977
6000,612.35,74.0,0.42779887775703435
6100,429.3,73.0,0.4213934395280027
6200,527.25,73.0,0.41513311458679303
6300,371.0,71.0,0.4087988713640635
6400,183.35,66.0,0.40278612128396896
6500,413.15,69.0,0.39742957569448917
6600,366.0,70.0,0.3920859374512718
6700,729.4,78.0,0.3863868996602732
6800,424.4,74.0,0.38098133517726723
6900,370.55,80.0,0.37621673266492534
7000,476.6,75.0,0.37084623337082767
7100,374.65,78.0,0.3658167008213165
7200,613.45,84.0,0.3603690224728881
7300,416.25,76.0,0.3553204816928492
7400,484.25,76.0,0.3502939969444741
7500,330.5,74.0,0.3453797996132192
7600,279.8,75.0,0.34095307055467294
7700,482.2,74.0,0.33659268296627287
7800,432.45,76.0,0.33201548607632003
7900,351.25,67.0,0.327566899828572
8000,334.3,71.0,0.3234618118736574
8100,495.45,77.0,0.3189598157447873
8200,375.45,76.0,0.31474364610618205
8300,336.85,66.0,0.3103591397434457
8400,398.3,79.0,0.30591925500601896
8500,470.5,78.0,0.30190750704321295
8600,333.25,71.0,0.29763650977245776
8700,644.0,84.0,0.2936571184130634
8800,347.9,76.0,0.2893344592113118
8900,350.7,82.0,0.28537076272730555
9000,310.6,75.0,0.28195931376738403
9100,353.25,74.0,0.278323157885177
9200,326.3,72.0,0.2745642784793557
9300,381.2,74.0,0.2710661514584925
9400,491.75,79.0,0.2673832629981855
9500,530.35,85.0,0.26384725202840476
9600,304.85,74.0,0.2600744485076964
9700,413.25,76.0,0.2568227165649858
9800,377.25,81.0,0.2537435274693076
9900,736.65,82.0,0.2502891324019698
10000,264.5,67.0,0.24669651041551016
10100,421.15,78.0,0.24324561271960554
10200,299.6,72.0,0.2399502098874488
10300,451.55,82.0,0.23661767114412036
10400,557.65,87.0,0.2337841524681365
10500,380.55,79.0,0.2306139687964649
10600,526.15,75.0,0.22756948277909111
10700,578.15,82.0,0.22438438721096954
10800,494.25,77.0,0.221359207957943
10900,600.9,85.0,0.21857183587255252
11000,484.9,81.0,0.21582980388434742
11100,515.9,82.0,0.21292044018019257
11200,462.35,82.0,0.21015818524175411
11300,511.45,80.0,0.20753725730279438
11400,363.95,80.0,0.20492823111020692
11500,382.75,70.0,0.20249960175395587
11600,497.85,83.0,0.19988404841375962
11700,523.25,78.0,0.19710726059199535
11800,499.4,81.0,0.1946420376955456
11900,583.85,81.0,0.19211860914114887
12000,413.35,73.0,0.18949963497545425
12100,264.2,75.0,0.18701110550109828
12200,493.8,83.0,0.18471507393209236
12300,418.6,83.0,0.18237806857715616
12400,491.15,83.0,0.18010762396318053
12500,391.5,78.0,0.1780296636831077
12600,347.5,72.0,0.17583379949304356
12700,488.45,83.0,0.17366323009878415
12800,506.45,85.0,0.17145720573858392
12900,546.25,76.0,0.16919514031069532
13000,755.95,87.0,0.16705711576276366
13100,194.65,74.0,0.16518758629442326
13200,594.15,83.0,0.16313275866979166
13300,655.3,86.0,0.1611701582338279
13400,495.5,84.0,0.15915424619208215
13500,497.55,80.0,0.15717488983600436
13600,703.4,84.0,0.15523142628044528
13700,455.3,86.0,0.15341623740338028
13800,520.1,81.0,0.15169335732957218
13900,775.45,86.0,0.14970960233277286
14000,351.3,80.0,0.14796026963631137
14100,579.2,84.0,0.14631865182167736
14200,582.8,83.0,0.14454368327730494
14300,423.2,79.0,0.14305232641924556
14400,448.85,80.0,0.14146551212780967
14500,552.25,82.0,0.13986980254902415
14600,571.85,84.0,0.138328426312389
14700,534.3,83.0,0.13684821889042764
14800,512.65,81.0,0.13525629751633034
14900,674.3,86.0,0.13386949708329443
15000,430.05,84.0,0.13235687881568947
15100,441.55,80.0,0.1310577598077078
15200,619.0,85.0,0.12969939418653628
15300,565.8,81.0,0.1283951438378804
15400,581.7,89.0,0.1271430881159819
15500,489.9,84.0,0.1258351559996736
15600,526.5,86.0,0.12445999375653044
15700,452.85,80.0,0.12313170433730655
15800,485.2,86.0,0.12197090820054897
15900,636.2,94.0,0.12080021126007498
16000,760.65,90.0,0.1195093992611831
