Episode,AvgReward,WinRate,Epsilon
0,30.0,100.0,1.0
100,104.95,36.0,0.9838931064229007
200,223.55,41.0,0.9676921488986634
300,76.3,39.0,0.9523134674640896
400,235.75,42.0,0.9376362090812279
500,-88.8,39.0,0.9221504859014509
600,26.25,34.0,0.9080496668589554
700,444.875,40.0,0.8935017566821526
800,285.025,42.0,0.880611340589742
900,317.4,45.0,0.8662020907992736
1000,311.5,44.0,0.8530861429504258
1100,196.95,44.0,0.8397069952654855
1200,410.25,44.0,0.8258521584682053
1300,-36.2,33.0,0.8114023912917638
1400,309.75,40.0,0.7981937620435845
1500,301.9,42.0,0.7849937417822294
1600,411.5,47.0,0.7717378501999653
1700,44.65,35.0,0.7590754827840877
1800,510.85,47.0,0.7461477933745804
1900,184.0,40.0,0.735303622507299
2000,434.0,45.0,0.7234824816470353
2100,465.0,52.0,0.7112698387379424
2200,568.3,49.0,0.6997982854137215
2300,540.85,48.0,0.687759966562344
2400,343.4,48.0,0.6762577230850605
2500,237.95,44.0,0.6647169909618134
2600,387.75,44.0,0.6526653000073891
2700,695.35,56.99999999999999,0.6411453844875705
2800,151.0,44.0,0.6297876898791409
2900,184.15,43.0,0.6186482110095183
3000,365.65,51.0,0.6082249317182027
3100,259.0,59.0,0.5979927103588056
3200,656.35,56.00000000000001,0.5869806093261325
3300,527.95,56.00000000000001,0.5772432329139513
3400,572.9,56.00000000000001,0.5677342007471706
3500,416.55,51.0,0.5570765531476156
3600,480.45,53.0,0.5475828048183085
3700,482.5,52.0,0.5385109977788861
3800,491.2,56.00000000000001,0.529125220825825
3900,366.3,51.0,0.519825798539643
4000,393.95,47.0,0.510706870310333
4100,609.65,56.99999999999999,0.5019456750174521
4200,595.4,53.0,0.49255377593223487
4300,414.0,55.00000000000001,0.48392078074541267
4400,481.4,52.0,0.47571154163289253
4500,672.0,55.00000000000001,0.46761584739641016
4600,835.45,57.99999999999999,0.45910096533773137
4700,533.3,54.0,0.4513612861275055
4800,576.9,49.0,0.44368928624787424
4900,390.65,51.0,0.436163936242527
5000,437.825,57.99999999999999,0.42893397618662615
5100,872.9,63.0,0.4217650187261648
5200,910.0,65.0,0.4147681639779232
5300,594.15,54.0,0.40722362441474774
5400,694.35,55.00000000000001,0.3996252912630811
5500,602.25,59.0,0.3925309383578768
5600,549.55,53.0,0.3859498808145113
5700,905.65,67.0,0.3790013929327603
5800,646.4,56.00000000000001,0.3722610671493743
5900,688.9,62.0,0.36594305277035016
6000,815.85,71.0,0.36024489969011053
6100,822.025,62.0,0.3541624654866872
6200,569.7,60.0,0.3481396451397626
6300,878.65,56.99999999999999,0.34229453768817864
6400,791.05,68.0,0.3365067180567641
6500,571.45,63.0,0.3313113279255666
6600,701.2,64.0,0.32530015759443576
6700,952.75,71.0,0.31963305648442764
6800,879.4,67.0,0.3140562066848113
6900,661.6,65.0,0.3088793141564566
7000,702.725,63.0,0.30337281587192
7100,832.15,70.0,0.2981570928639117
7200,842.875,62.0,0.29295153635814053
7300,753.75,63.0,0.28771250578026286
7400,761.1,62.0,0.2827493176798073
7500,807.2,62.0,0.27770751684828865
7600,775.425,67.0,0.2730647269208333
7700,573.0,62.0,0.2682327130748502
7800,845.85,73.0,0.2633986440024358
7900,855.45,67.0,0.25906850734505604
8000,798.1,73.0,0.2545396787122402
8100,990.325,74.0,0.2502090327700034
8200,850.6,67.0,0.24616614615134114
8300,1132.15,77.0,0.24205119643733009
8400,734.15,65.0,0.2380413686425858
8500,819.8,69.0,0.23418892268755043
8600,911.05,74.0,0.23079467310235563
8700,1001.35,71.0,0.22719697813202988
8800,682.85,65.0,0.22351464145128347
8900,977.4,78.0,0.2197559783872171
9000,1023.775,73.0,0.21602891909424077
9100,1113.6,79.0,0.21265997590289182
9200,665.05,61.0,0.2090250893768011
9300,886.7,65.0,0.20567367425182548
9400,696.1,66.0,0.20233194442046537
9500,657.4,69.0,0.19922600735271262
9600,371.6,60.0,0.19621263767635172
9700,849.65,67.0,0.1931598709694865
9800,751.95,59.0,0.19026899677333153
9900,903.2,72.0,0.1871619006392703
10000,944.2,72.0,0.18419070832133144
10100,702.3,65.0,0.1810870995851993
10200,516.5,65.0,0.17856851907478205
10300,728.95,69.0,0.1759974898080362
10400,985.375,71.0,0.17321884284741912
10500,1109.95,75.0,0.17075479291159462
10600,717.0,63.0,0.16812719700139847
10700,865.3,69.0,0.165672391535202
10800,733.625,73.0,0.16322330108886618
10900,804.4,73.0,0.1608704036573757
11000,847.05,70.0,0.1585012815676955
11100,634.4,65.0,0.15606604695902265
11200,673.35,69.0,0.15384111437935322
11300,794.9,65.0,0.1516831885022891
11400,896.4,76.0,0.14965975999322972
11500,997.25,68.0,0.1475789686050397
11600,719.3,67.0,0.14538887759420366
11700,1036.45,78.0,0.1434720054577607
11800,952.65,69.0,0.14148380705966745
11900,825.65,68.0,0.13943051764348802
12000,687.95,69.0,0.13763338078915005
12100,968.75,74.0,0.13576079648015338
12200,805.25,67.0,0.1339450136080082
12300,966.9,73.0,0.13211838984327492
12400,736.85,69.0,0.1304118846744429
12500,987.175,75.0,0.12876446824641402
12600,1110.6,75.0,0.1270582773735145
12700,781.2,65.0,0.12554752924382173
12800,758.35,63.0,0.1238962427712437
12900,946.6,72.0,0.12229550708718595
13000,772.25,70.0,0.12075774387480856
13100,1349.55,78.0,0.11930118354313841
13200,1101.4,77.0,0.11782711115716933
13300,1073.9,74.0,0.11638439306109813
13400,762.35,67.0,0.11497236233279508
13500,1159.45,73.0,0.11350775247038834
13600,885.4,74.0,0.11206374391807018
13700,1056.95,78.0,0.11071932306729132
13800,890.3,75.0,0.10935652075922457
13900,701.1,65.0,0.10807074360334216
14000,793.45,73.0,0.10691517403594378
14100,1045.75,73.0,0.10567114583395376
14200,1095.375,76.0,0.10453605183835243
14300,758.775,71.0,0.10334402549983587
14400,1154.95,78.0,0.10221459140163115
14500,1265.725,79.0,0.10108863087030412
14600,841.5,73.0,0.10011708583560745
